page,section,title_excerpt,status,workaround
159,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,…Custom chips also reflect a broader effort to manage the economics of AI infrastructure.,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
160,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI Monetization =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
161,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI Monetization…Chips =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
162,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,…AI Monetization…Chips =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
163,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI Monetization…Chips =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
164,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI Monetization…Chips =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
165,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI Monetization =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
166,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI Monetization…Cloud Computing =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
167,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI Monetization…AI Infrastructure =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
168,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI Monetization…Infrastructure Connectivity =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
169,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI Monetization…Data Collection + Supercomputing =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
170,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI Monetization =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
171,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI Monetization…Data Labeling & Evaluation =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
172,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI Monetization…Data Storage / Management / Processing =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
173,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI-Related Cost Ramps Relative to Revenue =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
174,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI Monetization – OpenAI =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
175,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI Monetization – Microsoft / Amazon / Alphabet / Meta =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
176,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,So…We Have…,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
177,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,Select Private AI Model Companies – 5/13/25 =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
178,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,…Select Private AI Model Companies – 5/13/25 =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
179,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,Valuation-to-Revenue Multiple – OpenAI =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
180,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,…Revenue-per-User Multiple – OpenAI =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
181,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,"As global digital user bases have grown and potential rapidity of usage traction has risen in tandem,",Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
182,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,…Uber burned -$17B* between 2016 and 2022 (and materially more before that),Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
183,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,Usage + Cost + Loss Growth =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
184,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI Monetization Possibilities =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
185,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,"To understand where AI model economics may be heading, one can look at",Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
186,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,"…The implications are still unfolding. For users (and developers), this shift is a gift:",Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
187,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI Company Landscape =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
188,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI Monetization Possibilities =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
189,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI – New Entrants =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
190,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI Monetization…Foundation Models =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
191,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,…AI Monetization…Foundation Models =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
192,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI – New Entrants =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
193,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI Monetization – Foundation Models =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
194,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI Monetization – API & Generative Search =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
195,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI Monetization – Generative Search =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
196,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI Monetization – Enterprise Search + Agents =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
197,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI Monetization – 2024 vs. 2018 =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
198,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI Monetization Possibilities =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
199,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI – Tech Incumbents =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
200,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,Tech Incumbents =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
201,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,Tech Incumbent AI Rollouts =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
202,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,Tech Incumbent AI Rollouts =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
203,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,Tech Incumbent AI Rollouts =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
204,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,Tech Incumbent AI Rollouts =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
205,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,Tech Incumbent AI Rollouts =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
206,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,Tech Incumbent AI Rollouts =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
207,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,Tech Incumbent AI Rollouts =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
208,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,Tech Incumbent AI Rollouts =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
209,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,Tech Incumbent AI Rollouts =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
210,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI – Tech Incumbents =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
211,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI Monetization – ‘AI Product’ =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
212,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI Monetization – Generative Search =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
213,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI Monetization – AI Services =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
214,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI Monetization Possibilities – Enterprise =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
215,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,"To understand where enterprise AI monetization is headed, it helps to ask",Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
216,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,"…But specialist vendors aren’t standing still. If anything, they’re absorbing AI faster –",Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
217,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI Monetization Possibilities – Enterprise =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
218,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,Horizontal Enterprise Platform =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
219,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,Enterprise SaaS Incumbent AI Rollouts =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
220,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,Enterprise SaaS Incumbent AI Rollouts =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
221,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,Enterprise SaaS Incumbent AI Rollouts =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
222,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,Enterprise SaaS Incumbent AI Rollouts =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
223,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,Enterprise SaaS Incumbent AI Rollouts =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
224,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,Enterprise SaaS Incumbent AI Rollouts =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
225,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,Enterprise SaaS Incumbent AI Rollouts =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
226,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,Enterprise SaaS Incumbent AI Rollouts =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
227,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,Horizontal Enterprise Platform =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
228,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,OpenAI ChatGPT =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
229,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,…OpenAI ChatGPT =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
230,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI Monetization Possibilities – Enterprise =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
231,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI Monetization – Enterprise =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
232,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI-Enabled Specialized Software @,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
233,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI-Enabled Specialized Software Companies @,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
234,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,Specialized AI – Software Engineering (Code Editor) =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
235,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI-Enabled Specialized Software Companies @,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
236,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,Specialized AI – Product Development (No-Code Product-Building) =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
237,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI-Enabled Specialized Software Companies @,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
238,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,Specialized AI – Healthcare (Clinical Conversations) =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
239,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI-Enabled Specialized Software Companies @,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
240,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,Specialized AI – Legal (Workflows) =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
241,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI-Enabled Specialized Software Companies @,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
242,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,Specialized AI – Customer Service (AI Support Agents) =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
243,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,AI-Enabled Specialized Software Companies @,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
244,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,Specialized AI – Financial Services (Research & Analysis) =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
245,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,Next AI Use Case Frontiers =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
246,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,Next AI Use Case Frontiers =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
247,4 AI Usage + Cost + Loss Growth = Unprecedented … What About Monetization & Profits?,Next AI Use Case Frontier – Protein Sequencing =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
248,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),Next AI Use Case Frontier – Protein Sequencing =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
249,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),Outline,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
250,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),AI Monetization Threats,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
251,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),Rising Competition =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
252,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),"On the back of Google’s ‘Attention is All You Need’ Transformers research paper in 2017,",Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
253,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),Large-Scale AI Multimodal* Model Competition =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
254,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),Large-Scale AI Language Model Competition =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
255,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),Large-Scale AI Vision Model Competition =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
256,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),Large-Scale AI Speech / Audio Model Competition =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
257,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),Large-Scale AI Video Model Competition =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
258,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),LLM Competition – Website Visits =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
259,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),…LLM Competition – Website Visits =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
260,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),"LLM Competition – Product Releases During Week of May 19, 2025 =",Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
261,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),AI Monetization Threats,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
262,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),"To understand where AI model development is headed, it helps to examine how two distinct approaches –",Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
263,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),Closed vs. Open-Source Models – Monthly Active Users (MAUs) =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
264,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),Closed vs. Open-Source Models – Compute Investment =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
265,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),Closed vs. Open-Source Models – Performance =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
266,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),…Closed vs. Open-Source Models – Performance =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
267,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),Rising Performance of Open-Source Models,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
268,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),"Closed-source models – like GPT-4, Claude, or Gemini –",Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
269,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),Developer AI Model Activity =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
270,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),Developer AI Model Activity =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
271,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),AI Monetization Threats,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
272,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),"As noted on page 8, Meta CTO Andrew Bosworth referred to the current state of AI as",Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
273,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),"…Meanwhile, alongside AI, broader economic trade tensions between the USA and China continue to escalate,",Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
274,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),Public Market Capitalization Leader,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
277,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),"Over the past thirty years (1995 to 2025), just six companies remained on the",Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
280,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),"Over the past thirty years (1995 to 2025), just five companies remained on the",Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
281,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),USA vs. China in Technology =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
282,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),AI Large Language Model (LLM) Leadership =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
283,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),China AI = Rapid Relevance…,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
284,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),…China AI = Rapid Relevance…,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
285,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),…China AI = Rapid Relevance…,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
286,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),China AI =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
287,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),…China AI =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
288,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),…China AI =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
289,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),…China AI =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
290,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),…China AI =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
291,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),Robots – Industrial & Humanoid =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
292,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),China Consumer AI Usage =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
293,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),"To understand how the generative AI market is evolving, it helps to examine the divergence in provider usage across",Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
294,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),LLM User Share – Desktop Users =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
295,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),…LLM User Share – Mobile App Users =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
297,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),…LLM User Share – Query Volume =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
298,5 AI Monetization Threats = Rising Competition + Open-Source Model Momentum (as China Rises),China AI Users =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
299,6 AI & Physical World Ramps = Fast + Furious,AI Benefits vs. Drawbacks – China vs. USA Citizens =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
300,6 AI & Physical World Ramps = Fast + Furious,Outline,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
301,6 AI & Physical World Ramps = Fast + Furious,"For the most part, we have focused on AI momentum and monetization of desktop / mobile software…",Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
302,6 AI & Physical World Ramps = Fast + Furious,Physical World AI – Vertically-Integrated Electric Vehicles (Tesla) =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
303,6 AI & Physical World Ramps = Fast + Furious,Physical World AI – Fully-Autonomous Vehicles (Waymo) =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
304,6 AI & Physical World Ramps = Fast + Furious,Physical World AI –Vehicle Intelligence (Applied Intuition) =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
305,6 AI & Physical World Ramps = Fast + Furious,Physical World AI – USA Defense (Anduril) =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
306,6 AI & Physical World Ramps = Fast + Furious,Physical World AI = AI-Driven Mining Exploration (KoBold Metals) =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
307,6 AI & Physical World Ramps = Fast + Furious,Physical World AI – Agricultural Modernization (Carbon Robotics) =,Chart/image-only or non-extractable,Placeholder created; retain image in Slides; consider manual data capture if critical
