Address,Street,City,Postal Code,Country,gpt_flag,gpt_flag_reason,internal_flag,internal_flag_details,unmapped_components,confidence,raw_input_for_model
"Murray Street 660, 5031 Adelaide SA Australia",660 Murray Street,Adelaide,5031,Australia,ok,Standard Australian address parsed with clear components.,True,unmapped_extra_components,"{""state"": ""South Australia""}",0.93,"Murray Street 660, 5031 Adelaide SA Australia"
"214 Station Road, Birmingham, B2 4QA, UK",214 Station Road,Birmingham,B2 4QA,United Kingdom,ok,"Standard UK address with clear street, city, and postcode.",False,,,0.96,"214 Station Road, Birmingham, B2 4QA, UK"
"82 Pitt Street, Melbourne 3000 VIC, Australia",82 Pitt Street,Melbourne,3000,Australia,ok,Parsed standard Australian address with clear components.,True,unmapped_extra_components,"{""state"": ""VIC""}",0.97,"82 Pitt Street, Melbourne 3000 VIC, Australia"
4464 Maple Avenue Calgary AB T2H 0K8 Canada,4464 Maple Avenue,Calgary,T2H 0K8,Canada,ok,"Standard Canadian address parsed with city, province, and postal code correctly identified.",True,unmapped_extra_components,"{""province"": ""Alberta""}",0.94,4464 Maple Avenue Calgary AB T2H 0K8 Canada
"9780 Lincoln Avenue Apt 374, Philadelphia, PA 19101, USA",9780 Lincoln Avenue Apt 374,Philadelphia,19101,United States,ok,"Standard US address parsed with clear city, state, ZIP, and country.",True,unmapped_extra_components,"{""state"": ""PA""}",0.97,"9780 Lincoln Avenue Apt 374, Philadelphia, PA 19101, USA"
"4425 University Avenue, Ottawa, ON, K1N 5R6, Canada",4425 University Avenue,Ottawa,K1N 5R6,Canada,ok,Parsed standard Canadian address with clear components.,True,unmapped_extra_components,"{""province"": ""ON""}",0.97,"4425 University Avenue, Ottawa, ON, K1N 5R6, Canada"
"8735 Main Street, Houston, TX 77001, USA",8735 Main Street,Houston,77001,United States,ok,Standard US address parsed with clear components.,True,unmapped_extra_components,"{""state"": ""TX""}",0.99,"8735 Main Street, Houston, TX 77001, USA"
"3263 Park Lane Apt 484, Los Angeles, CA 90013, USA",3263 Park Lane Apt 484,Los Angeles,90013,United States,ok,All core fields identified and formatted correctly.,True,unmapped_extra_components,"{""state"": ""CA""}",0.99,"3263 Park Lane Apt 484, Los Angeles, CA 90013, USA"
"2657 Bay Street, Ottawa, ON, K1P 5E7, Canada",2657 Bay Street,Ottawa,K1P 5E7,Canada,ok,Standard Canadian address parsed with province in extra and normalized postal code spacing.,True,unmapped_extra_components,"{""province"": ""ON""}",0.97,"2657 Bay Street, Ottawa, ON, K1P 5E7, Canada"
"Oak Avenue 5765, Philadelphia, PA 19101",5765 Oak Avenue,Philadelphia,19101,United States,ok,Parsed US address with inferred country and normalized street order.,True,unmapped_extra_components,"{""state"": ""PA""}",0.94,"Oak Avenue 5765, Philadelphia, PA 19101"
"5492 Lake Road, San Antonio, Texas 78205",5492 Lake Road,San Antonio,78205,United States,ok,"Standard US address with clear city, state, and ZIP.",True,unmapped_extra_components,"{""state"": ""Texas""}",0.97,"5492 Lake Road, San Antonio, Texas 78205"
"7958 Front Street, Toronto ON M5H 2N2",7958 Front Street,Toronto,M5H 2N2,Canada,ok,"Parsed city, province, and Canadian postal code unambiguously.",True,unmapped_extra_components,"{""province"": ""Ontario""}",0.97,"7958 Front Street, Toronto ON M5H 2N2"
"5154 Market Street, Chicago, IL, 60614, United States",5154 Market Street,Chicago,60614,United States,ok,Standard US address with clear components.,True,unmapped_extra_components,"{""state"": ""Illinois""}",0.97,"5154 Market Street, Chicago, IL, 60614, United States"
"730 William Street, Melbourne, VIC, 3008, Australia",730 William Street,Melbourne,3008,Australia,ok,"Standard Australian address parsed with clear city, state, and postal code.",True,unmapped_extra_components,"{""state"": ""VIC""}",0.98,"730 William Street, Melbourne, VIC, 3008, Australia"
"264 Mill Lane, Liverpool, UK, L4 5SQ",264 Mill Lane,Liverpool,L4 5SQ,United Kingdom,ok,"Standard UK address with clear street, city, and postcode.",False,,,0.97,"264 Mill Lane, Liverpool, UK, L4 5SQ"
"850 King Street, Calgary AB T2H 0K8",850 King Street,Calgary,T2H 0K8,Canada,ok,"Standard Canadian address with clear city, province, and postal code.",True,unmapped_extra_components,"{""province"": ""Alberta""}",0.97,"850 King Street, Calgary AB T2H 0K8"
"King Street 982, 6008 Perth WA Australia",982 King Street,Perth,6008,Australia,ok,Standard Australian address parsed with clear components.,True,unmapped_extra_components,"{""state"": ""WA""}",0.93,"King Street 982, 6008 Perth WA Australia"
"Unit 6/992 Exhibition Street, Adelaide SA 5031",Unit 6/992 Exhibition Street,Adelaide,5031,Australia,ok,"Parsed Australian address with clear unit, city, state, and postcode.",True,unmapped_extra_components,"{""state"": ""SA""}",0.92,"Unit 6/992 Exhibition Street, Adelaide SA 5031"
"103 Hunter Street, Brisbane, QLD, 4101, Australia",103 Hunter Street,Brisbane,4101,Australia,ok,Standard Australian address with clear components.,True,unmapped_extra_components,"{""state"": ""QLD""}",0.98,"103 Hunter Street, Brisbane, QLD, 4101, Australia"
"5 Queens Road, Manchester, M3 4FP, UK",5 Queens Road,Manchester,M3 4FP,United Kingdom,ok,"Standard UK address with clear street, city, and postcode.",False,,,0.97,"5 Queens Road, Manchester, M3 4FP, UK"
"Elm Street 3931, Chicago, IL 60601",3931 Elm Street,Chicago,60601,United States,ok,Parsed US address with inferred country from state and ZIP; street number order normalized.,True,unmapped_extra_components,"{""state"": ""IL""}",0.94,"Elm Street 3931, Chicago, IL 60601"
"137 The Avenue, London, UK, W1A 0AX",137 The Avenue,London,W1A 0AX,United Kingdom,ok,All core fields identified and formatted correctly.,False,,,0.98,"137 The Avenue, London, UK, W1A 0AX"
248 Queens Road Leeds LS1 1BA UK,248 Queens Road,Leeds,LS1 1BA,United Kingdom,ok,All core fields parsed and consistent with UK addressing.,False,,,0.97,248 Queens Road Leeds LS1 1BA UK
"3297 Front Street, V7Y 1G5 Vancouver, BC",3297 Front Street,Vancouver,V7Y 1G5,Canada,ok,"Standard Canadian address with clear city, province, and postal code.",True,unmapped_extra_components,"{""province"": ""BC""}",0.94,"3297 Front Street, V7Y 1G5 Vancouver, BC"
218 William Street Sydney NSW 2060,218 William Street,North Sydney,2060,Australia,ambiguous,Postcode 2060 corresponds to North Sydney; input lists Sydney.,True,unmapped_extra_components,"{""state"": ""NSW""}",0.74,218 William Street Sydney NSW 2060
"Unit 254-2502 Carlton Street, Montreal, QC H3A 0G4","Unit 254, 2502 Carlton Street",Montreal,H3A 0G4,Canada,ok,"Parsed unit, street number, city, province, and Canadian postal code clearly.",True,unmapped_extra_components,"{""province"": ""Quebec"", ""unit"": ""Unit 254""}",0.96,"Unit 254-2502 Carlton Street, Montreal, QC H3A 0G4"
"Adelaide Street 751, 5031 Adelaide SA Australia",751 Adelaide Street,Adelaide,5031,Australia,ok,Parsed Australian address with clear components.,True,unmapped_extra_components,"{""state"": ""SA""}",0.9,"Adelaide Street 751, 5031 Adelaide SA Australia"
"Spring Street 169, 2001 Sydney NSW Australia",169 Spring Street,Sydney,2001,Australia,ok,Parsed standard Australian address with clear components.,True,unmapped_extra_components,"{""state"": ""NSW""}",0.86,"Spring Street 169, 2001 Sydney NSW Australia"
"304 London Road, London NW1 2DB, United Kingdom",304 London Road,London,NW1 2DB,United Kingdom,ok,All core fields identified and formatted correctly.,False,,,0.96,"304 London Road, London NW1 2DB, United Kingdom"
"Unit 155-9697 Bay Street, Calgary, AB T2G 0L8",Unit 155-9697 Bay Street,Calgary,T2G 0L8,Canada,ok,"Parsed Canadian address with city, province, and postal code correctly inferred.",True,unmapped_extra_components,"{""province"": ""AB"", ""unit"": ""Unit 155""}",0.95,"Unit 155-9697 Bay Street, Calgary, AB T2G 0L8"
"5725 College Street, M4B 1B3 Toronto, ON",5725 College Street,Toronto,M4B 1B3,Canada,ok,"Clear Canadian address with city, province, and postal code identifiable.",True,unmapped_extra_components,"{""province"": ""ON""}",0.9,"5725 College Street, M4B 1B3 Toronto, ON"
"7335 Sunset Boulevard Apt 20, Dallas, TX 75205, USA",7335 Sunset Boulevard Apt 20,Dallas,75205,United States,ok,Standard US address parsed with clear components.,True,unmapped_extra_components,"{""state"": ""TX"", ""unit"": ""Apt 20""}",0.99,"7335 Sunset Boulevard Apt 20, Dallas, TX 75205, USA"
"9786 Park Lane, San Diego 92101, USA",9786 Park Lane,San Diego,92101,United States,missing_fields,State missing for a United States address.,False,,,0.86,"9786 Park Lane, San Diego 92101, USA"
"Bridge Street 119, EC1A 1BB London, UK",119 Bridge Street,London,EC1A 1BB,United Kingdom,ok,"Standard UK address with clear street number, city, postcode, and country.",False,,,0.94,"Bridge Street 119, EC1A 1BB London, UK"
"461 High Street, B1 1AA, Birmingham, United Kingdom",461 High Street,Birmingham,B1 1AA,United Kingdom,ok,Standard UK address components parsed cleanly.,False,,,0.97,"461 High Street, B1 1AA, Birmingham, United Kingdom"
"253 Murray Street, 3000, Melbourne, VIC",253 Murray Street,Melbourne,3000,Australia,ok,All core fields identified; Australian state and postcode inferred from context.,True,unmapped_extra_components,"{""state"": ""VIC""}",0.93,"253 Murray Street, 3000, Melbourne, VIC"
"247 Manor Road, Manchester M1 1AD, United Kingdom",247 Manor Road,Manchester,M1 1AD,United Kingdom,ok,All core fields identified with standard UK formatting.,False,,,0.98,"247 Manor Road, Manchester M1 1AD, United Kingdom"
"9828 Front Street, Calgary, AB, T2P 2M5, Canada",9828 Front Street,Calgary,T2P 2M5,Canada,ok,"Standard Canadian address with clear city, province, and postal code.",True,unmapped_extra_components,"{""province"": ""AB""}",0.97,"9828 Front Street, Calgary, AB, T2P 2M5, Canada"
"1040 Valley Road, Houston 77001, USA",1040 Valley Road,Houston,77001,United States,ok,"Parsed standard US address with clear street, city, ZIP, and country.",False,,,0.91,"1040 Valley Road, Houston 77001, USA"
"2363 Hill Street, Philadelphia PA 19103",2363 Hill Street,Philadelphia,19103,United States,ok,"Parsed standard US address with clear city, state, and ZIP.",True,unmapped_extra_components,"{""state"": ""PA""}",0.95,"2363 Hill Street, Philadelphia PA 19103"
"Richmond Street 5146, Montreal, H2X 1Y1, QC, Canada",5146 Richmond Street,Montreal,H2X 1Y1,Canada,ok,"Parsed standard Canadian address with clear house number, street, city, province, and postal code.",True,unmapped_extra_components,"{""province"": ""Quebec""}",0.95,"Richmond Street 5146, Montreal, H2X 1Y1, QC, Canada"
"Church Lane 448, NW1 2DB London, UK",448 Church Lane,London,NW1 2DB,United Kingdom,ok,"Parsed street number and name normalized; city, postcode, and country identified.",False,,,0.85,"Church Lane 448, NW1 2DB London, UK"
"2522 Main Street, Toronto, ON, M5H 2N2, Canada",2522 Main Street,Toronto,M5H 2N2,Canada,ok,All core fields identified and formatted correctly.,True,unmapped_extra_components,"{""province"": ""ON""}",0.98,"2522 Main Street, Toronto, ON, M5H 2N2, Canada"
"152 Hunter Street, 5031, Adelaide, SA",152 Hunter Street,Adelaide,5031,Australia,ok,Parsed as Australian address with SA (South Australia) and valid 5031 postcode.,True,unmapped_extra_components,"{""state"": ""SA""}",0.78,"152 Hunter Street, 5031, Adelaide, SA"
812 Elizabeth Street Melbourne VIC 3006,812 Elizabeth Street,Melbourne,3006,Australia,ok,All core components identified clearly including Australian state code.,True,unmapped_extra_components,"{""state"": ""VIC""}",0.9,812 Elizabeth Street Melbourne VIC 3006
"318 Green Lane, London, EC1A 1BB, UK",318 Green Lane,London,EC1A 1BB,United Kingdom,ok,All core fields identified and formatted correctly.,False,,,0.97,"318 Green Lane, London, EC1A 1BB, UK"
"2370 Wellington Street, Vancouver, BC V5L 1A9, Canada",2370 Wellington Street,Vancouver,V5L 1A9,Canada,ok,All core fields identified and formatted correctly.,True,unmapped_extra_components,"{""province"": ""BC""}",0.98,"2370 Wellington Street, Vancouver, BC V5L 1A9, Canada"
"33 Kings Street, Liverpool L8 5ST, United Kingdom",33 Kings Street,Liverpool,L8 5ST,United Kingdom,ok,All core fields identified and formatted correctly.,False,,,0.97,"33 Kings Street, Liverpool L8 5ST, United Kingdom"
"River Drive 4984, Houston, TX 77019",4984 River Drive,Houston,77019,United States,ok,"Standard US address with clear city, state, and ZIP.",True,unmapped_extra_components,"{""state"": ""TX""}",0.95,"River Drive 4984, Houston, TX 77019"
222 Lonsdale Street Brisbane QLD 4001,222 Lonsdale Street,Brisbane,4001,Australia,ok,"Parsed Australian address with clear street, city, state, and postal code.",True,unmapped_extra_components,"{""state"": ""QLD""}",0.9,222 Lonsdale Street Brisbane QLD 4001
"Bridge Street 233, M1 1AD Manchester, UK",233 Bridge Street,Manchester,M1 1AD,United Kingdom,ok,Parsed UK address with normalized street order and correct postal code spacing.,False,,,0.95,"Bridge Street 233, M1 1AD Manchester, UK"
2127 King Street Montreal QC H2X 1Y1 Canada,2127 King Street,Montreal,H2X 1Y1,Canada,ok,All core fields identified with standard Canadian formatting.,True,unmapped_extra_components,"{""province"": ""Quebec""}",0.97,2127 King Street Montreal QC H2X 1Y1 Canada
"715 Bourke Street, 2060, Sydney, NSW",715 Bourke Street,Sydney,2060,Australia,ambiguous,"Postcode 2060 typically maps to North Sydney area, while input lists Sydney as city.",True,unmapped_extra_components,"{""state"": ""New South Wales""}",0.83,"715 Bourke Street, 2060, Sydney, NSW"
"228 Albert Street, London EC1A 1BB, United Kingdom",228 Albert Street,London,EC1A 1BB,United Kingdom,ok,All core fields identified and formatted correctly.,False,,,0.97,"228 Albert Street, London EC1A 1BB, United Kingdom"
"805 Market Street, Adelaide, SA, 5042, Australia",805 Market Street,Adelaide,5042,Australia,ok,Parsed standard Australian address with clear components.,True,unmapped_extra_components,"{""state"": ""SA""}",0.98,"805 Market Street, Adelaide, SA, 5042, Australia"
"793 Pitt Street, Adelaide, SA, 5000, Australia",793 Pitt Street,Adelaide,5000,Australia,ok,All core fields parsed clearly with standard Australian formatting.,True,unmapped_extra_components,"{""state"": ""SA""}",0.97,"793 Pitt Street, Adelaide, SA, 5000, Australia"
"1583 College Street, Montreal, QC H2Y 1C6, Canada",1583 College Street,Montreal,H2Y 1C6,Canada,ok,All core fields parsed cleanly with province mapped to extra.,True,unmapped_extra_components,"{""province"": ""Quebec""}",0.93,"1583 College Street, Montreal, QC H2Y 1C6, Canada"
"2823 River Drive, Houston TX 77002",2823 River Drive,Houston,77002,United States,ok,"Parsed US address with clear city, state, and ZIP.",True,unmapped_extra_components,"{""state"": ""TX""}",0.98,"2823 River Drive, Houston TX 77002"
"318 Murray Street, Brisbane QLD 4001, Australia",318 Murray Street,Brisbane,4001,Australia,ok,Standard Australian address parsed with clear components.,True,unmapped_extra_components,"{""province"": ""QLD""}",0.96,"318 Murray Street, Brisbane QLD 4001, Australia"
"Unit 171-362 College Street, Montreal, QC H4A 3J2",Unit 171-362 College Street,Montreal,H4A 3J2,Canada,ok,"Parsed Canadian address with unit, city, province, and postal code correctly.",True,unmapped_extra_components,"{""province"": ""Quebec"", ""unit"": ""171""}",0.97,"Unit 171-362 College Street, Montreal, QC H4A 3J2"
151 Bourke Street Brisbane QLD 4169,151 Bourke Street,Brisbane,4169,Australia,ambiguous,Postcode 4169 typically maps to the suburb East Brisbane; input lists city as Brisbane.,True,unmapped_extra_components,"{""state"": ""Queensland""}",0.78,151 Bourke Street Brisbane QLD 4169
"82 Kings Street, B2 4QA, Birmingham, United Kingdom",82 Kings Street,Birmingham,B2 4QA,United Kingdom,ok,All core fields identified and well-formed.,False,,,0.96,"82 Kings Street, B2 4QA, Birmingham, United Kingdom"
"33 Park Avenue, London, W1A 0AX, UK",33 Park Avenue,London,W1A 0AX,United Kingdom,ok,All core fields identified and formatted correctly.,False,,,0.97,"33 Park Avenue, London, W1A 0AX, UK"
"6731 Spring Avenue, Austin TX 78702",6731 Spring Avenue,Austin,78702,United States,ok,"Parsed US address with clear city, state, and ZIP.",True,unmapped_extra_components,"{""state"": ""TX""}",0.98,"6731 Spring Avenue, Austin TX 78702"
"High Street 314, M3 4FP Manchester, UK",314 High Street,Manchester,M3 4FP,United Kingdom,ok,"Standard UK address with clear house number, street, city, postcode, and country.",False,,,0.93,"High Street 314, M3 4FP Manchester, UK"
"King Street 2643, Toronto, M6G 1C4, ON, Canada",2643 King Street,Toronto,M6G 1C4,Canada,ok,Parsed standard Canadian address with clear components.,True,unmapped_extra_components,"{""province"": ""ON""}",0.92,"King Street 2643, Toronto, M6G 1C4, ON, Canada"
"6981 Front Street, Montreal, QC H3A 0G4, Canada",6981 Front Street,Montreal,H3A 0G4,Canada,ok,"Standard Canadian address with clear city, province, and postal code.",True,unmapped_extra_components,"{""province"": ""Quebec""}",0.9,"6981 Front Street, Montreal, QC H3A 0G4, Canada"
"William Street 584, 5038 Adelaide SA Australia",584 William Street,Adelaide,5038,Australia,ambiguous,Postcode 5038 may not correspond to Adelaide CBD; locality/postcode pairing uncertain.,True,unmapped_extra_components,"{""state"": ""SA""}",0.64,"William Street 584, 5038 Adelaide SA Australia"
28 Alexandra Road Manchester M4 5JY UK,28 Alexandra Road,Manchester,M4 5JY,United Kingdom,ok,All core fields identified and formatted correctly.,False,,,0.97,28 Alexandra Road Manchester M4 5JY UK
"4302 Richmond Street, H3A 0G4 Montreal, QC",4302 Richmond Street,Montreal,H3A 0G4,Canada,ok,Parsed Canadian address with province and postal code format recognized.,True,unmapped_extra_components,"{""province"": ""Quebec""}",0.9,"4302 Richmond Street, H3A 0G4 Montreal, QC"
"887 Murray Street, Melbourne VIC 3006, Australia",887 Murray Street,Melbourne,3006,Australia,ok,Parsed Australian address with clear components.,True,unmapped_extra_components,"{""state"": ""VIC""}",0.97,"887 Murray Street, Melbourne VIC 3006, Australia"
"380 Green Lane, M3 4FP, Manchester, United Kingdom",380 Green Lane,Manchester,M3 4FP,United Kingdom,ok,All core fields present and consistent for a UK address.,False,,,0.97,"380 Green Lane, M3 4FP, Manchester, United Kingdom"
9144 Front Street Ottawa ON K1P 5E7 Canada,9144 Front Street,Ottawa,K1P 5E7,Canada,ok,"Parsed street, city, postal code, country, and province clearly from a standard Canadian address.",True,unmapped_extra_components,"{""province"": ""ON""}",0.94,9144 Front Street Ottawa ON K1P 5E7 Canada
352 Collins Street Melbourne VIC 3006,352 Collins Street,Melbourne,3006,Australia,ambiguous,"Postcode 3006 maps to Southbank, while street suggests Melbourne CBD (usually 3000). City/postcode mismatch.",True,unmapped_extra_components,"{""state"": ""VIC""}",0.59,352 Collins Street Melbourne VIC 3006
"Queen Street 9201, Toronto, M6G 1C4, ON, Canada",9201 Queen Street,Toronto,M6G 1C4,Canada,ok,Parsed components match standard Canadian address format; normalized street number order and preserved postal code spacing.,True,unmapped_extra_components,"{""province"": ""ON""}",0.97,"Queen Street 9201, Toronto, M6G 1C4, ON, Canada"
"Collins Street 244, 6008 Perth WA Australia",244 Collins Street,Subiaco,6008,Australia,ambiguous,"Postcode 6008 corresponds to Subiaco/Jolimont/Shenton Park, while input lists Perth WA; selected Subiaco to match postcode.",True,unmapped_extra_components,"{""state"": ""WA""}",0.71,"Collins Street 244, 6008 Perth WA Australia"
"1054 Main Street, Austin TX 78702",1054 Main Street,Austin,78702,United States,ok,"Parsed standard US address with clear city, state, and ZIP.",True,unmapped_extra_components,"{""state"": ""TX""}",0.97,"1054 Main Street, Austin TX 78702"
"2802 Maple Drive, San Antonio TX 78202",2802 Maple Drive,San Antonio,78202,United States,ok,"Standard US address with clear city, state, and ZIP.",True,unmapped_extra_components,"{""state"": ""TX""}",0.97,"2802 Maple Drive, San Antonio TX 78202"
"5273 Lake Road Apt 458, Austin, TX 78701, USA",5273 Lake Road Apt 458,Austin,78701,United States,ok,"Standard US address with clear street, city, state, postal code, and country.",True,unmapped_extra_components,"{""state"": ""TX""}",0.99,"5273 Lake Road Apt 458, Austin, TX 78701, USA"
"429 Green Lane, Leeds, LS3 1LF, UK",429 Green Lane,Leeds,LS3 1LF,United Kingdom,ok,All core fields identified and formatted correctly.,False,,,0.97,"429 Green Lane, Leeds, LS3 1LF, UK"
"824 Exhibition Street, Brisbane QLD 4169, Australia",824 Exhibition Street,Brisbane,4169,Australia,ok,All core fields parsed and formatted appropriately.,True,unmapped_extra_components,"{""state"": ""QLD""}",0.74,"824 Exhibition Street, Brisbane QLD 4169, Australia"
"513 Bourke Street, 5042, Adelaide, SA",513 Bourke Street,Adelaide,5042,Australia,ok,All core fields parsed.,True,unmapped_extra_components,"{""state"": ""South Australia""}",0.9,"513 Bourke Street, 5042, Adelaide, SA"
1909 University Avenue Toronto ON M4E 2S8 Canada,1909 University Avenue,Toronto,M4E 2S8,Canada,ok,"Parsed Canadian address with clear street, city, province, postal code, and country.",True,unmapped_extra_components,"{""province"": ""ON""}",0.9,1909 University Avenue Toronto ON M4E 2S8 Canada
"9322 Hill Street, San Diego, CA, 92101, United States",9322 Hill Street,San Diego,92101,United States,ok,Parsed standard US address with clear components.,True,unmapped_extra_components,"{""state"": ""CA""}",0.98,"9322 Hill Street, San Diego, CA, 92101, United States"
"Unit 14/827 Exhibition Street, Adelaide SA 5031",Unit 14/827 Exhibition Street,Adelaide,5031,Australia,ambiguous,AU addresses typically use suburb; postcode 5031 may correspond to a suburb other than Adelaide CBD.,True,unmapped_extra_components,"{""state"": ""SA"", ""unit"": ""Unit 14""}",0.8,"Unit 14/827 Exhibition Street, Adelaide SA 5031"
"Cedar Boulevard 3153, Austin, TX 78702",3153 Cedar Boulevard,Austin,78702,United States,ok,"Standard US address with clear city, state, and ZIP; normalized street number order.",True,unmapped_extra_components,"{""state"": ""TX""}",0.94,"Cedar Boulevard 3153, Austin, TX 78702"
"Unit 41-6733 Main Street, Montreal, QC H4A 3J2",Unit 41-6733 Main Street,Montreal,H4A 3J2,Canada,ok,Parsed Canadian address with province and postal code format recognized.,True,unmapped_extra_components,"{""province"": ""QC""}",0.96,"Unit 41-6733 Main Street, Montreal, QC H4A 3J2"
"Unit 75/922 Pitt Street, Adelaide SA 5006",Unit 75/922 Pitt Street,Adelaide,5006,Australia,ok,"Parsed Australian address with city, state, and postcode inferred correctly.",True,unmapped_extra_components,"{""state"": ""South Australia"", ""unit"": ""Unit 75""}",0.9,"Unit 75/922 Pitt Street, Adelaide SA 5006"
"603 Carlton Street, K1A 0B1 Ottawa, ON",603 Carlton Street,Ottawa,K1A 0B1,Canada,ok,"Standard Canadian address with clear street, city, province, and postal code.",True,unmapped_extra_components,"{""province"": ""ON""}",0.97,"603 Carlton Street, K1A 0B1 Ottawa, ON"
4864 Front Street Ottawa ON K1P 5E7 Canada,4864 Front Street,Ottawa,K1P 5E7,Canada,ok,All core fields identified and formatted correctly.,True,unmapped_extra_components,"{""province"": ""ON""}",0.98,4864 Front Street Ottawa ON K1P 5E7 Canada
"7277 Market Street, Dallas, TX 75204, USA",7277 Market Street,Dallas,75204,United States,ok,All core fields parsed confidently,True,unmapped_extra_components,"{""state"": ""TX""}",0.98,"7277 Market Street, Dallas, TX 75204, USA"
"329 Victoria Road, L8 5ST, Liverpool, United Kingdom",329 Victoria Road,Liverpool,L8 5ST,United Kingdom,ok,All core fields identified clearly.,False,,,0.99,"329 Victoria Road, L8 5ST, Liverpool, United Kingdom"
"4661 Bay Street, Vancouver, BC, V6Z 1Y6, Canada",4661 Bay Street,Vancouver,V6Z 1Y6,Canada,ok,"Parsed standard Canadian address with clear city, province, and postal code.",True,unmapped_extra_components,"{""province"": ""BC""}",0.96,"4661 Bay Street, Vancouver, BC, V6Z 1Y6, Canada"
"Elm Street 5229, Phoenix, AZ 85004",5229 Elm Street,Phoenix,85004,United States,ok,"Parsed standard US address with clear street, city, state, and ZIP.",True,unmapped_extra_components,"{""state"": ""Arizona""}",0.96,"Elm Street 5229, Phoenix, AZ 85004"
"3715 Forest Avenue, San Diego 92109, USA",3715 Forest Avenue,San Diego,92109,United States,ok,All core fields identified and formatted correctly.,False,,,0.9,"3715 Forest Avenue, San Diego 92109, USA"
"Unit 265-2071 College Street, Montreal, QC H3A 0G4",Unit 265-2071 College Street,Montreal,H3A 0G4,Canada,ok,All core fields identified and formatted; province captured in extras.,True,unmapped_extra_components,"{""province"": ""QC"", ""unit"": ""Unit 265""}",0.96,"Unit 265-2071 College Street, Montreal, QC H3A 0G4"
"57 Exhibition Street, 2001, Sydney, NSW",57 Exhibition Street,Sydney,2001,Australia,ambiguous,Street name commonly associated with Melbourne; NSW provided indicates Sydney but potential mismatch.,True,unmapped_extra_components,"{""state"": ""NSW""}",0.72,"57 Exhibition Street, 2001, Sydney, NSW"
"Unit 13-4580 Yonge Street, Ottawa, ON K1N 5R6",Unit 13-4580 Yonge Street,Ottawa,K1N 5R6,Canada,ambiguous,"Street name suggests Toronto, but postal code K1N 5R6 corresponds to Ottawa; conflicting city/street.",True,unmapped_extra_components,"{""province"": ""ON""}",0.47,"Unit 13-4580 Yonge Street, Ottawa, ON K1N 5R6"
"Elm Street 3284, Austin, TX 78704",3284 Elm Street,Austin,78704,United States,ok,Standard US address; state captured in extra and country inferred from city/state format.,True,unmapped_extra_components,"{""state"": ""TX""}",0.92,"Elm Street 3284, Austin, TX 78704"
"Wellington Street 8116, Vancouver, V5L 1A9, BC, Canada",8116 Wellington Street,Vancouver,V5L 1A9,Canada,ok,Standard Canadian address parsed; province mapped to British Columbia and postal code normalized.,True,unmapped_extra_components,"{""province"": ""British Columbia""}",0.92,"Wellington Street 8116, Vancouver, V5L 1A9, BC, Canada"
"578 Collins Street, Perth WA 6008, Australia",578 Collins Street,Perth,6008,Australia,ok,Parsed components align with standard Australian address format.,True,unmapped_extra_components,"{""state"": ""WA""}",0.93,"578 Collins Street, Perth WA 6008, Australia"
"Unit 220-2021 King Street, Vancouver, BC V6B 2W9",Unit 220-2021 King Street,Vancouver,V6B 2W9,Canada,ok,"Parsed Canadian address with unit, city, province, and postal code clearly identified.",True,unmapped_extra_components,"{""province"": ""British Columbia"", ""unit"": ""220""}",0.95,"Unit 220-2021 King Street, Vancouver, BC V6B 2W9"
"Unit 51-3316 Wellington Street, Ottawa, ON K2P 0A4",Unit 51-3316 Wellington Street,Ottawa,K2P 0A4,Canada,ok,"Parsed Canadian address with unit, city, province, and postal code clearly identified.",True,unmapped_extra_components,"{""province"": ""Ontario"", ""unit"": ""Unit 51""}",0.97,"Unit 51-3316 Wellington Street, Ottawa, ON K2P 0A4"
"568 Lonsdale Street, Sydney NSW 2011, Australia",568 Lonsdale Street,Sydney,2011,Australia,ambiguous,Street name commonly associated with a different city; postcode 2011 may not match the street and city provided.,True,unmapped_extra_components,"{""state"": ""NSW""}",0.62,"568 Lonsdale Street, Sydney NSW 2011, Australia"
"Hunter Street 570, 6003 Perth WA Australia",570 Hunter Street,Perth,6003,Australia,ok,Parsed components match Australian addressing conventions.,True,unmapped_extra_components,"{""state"": ""WA""}",0.9,"Hunter Street 570, 6003 Perth WA Australia"
"192 Kings Street, London, UK, SE1 7PB",192 Kings Street,London,SE1 7PB,United Kingdom,ok,All core fields identified and normalized.,False,,,0.9,"192 Kings Street, London, UK, SE1 7PB"
"6668 Lincoln Avenue, San Diego CA 92102",6668 Lincoln Avenue,San Diego,92102,United States,ok,"Parsed US address with clear street, city, state, and ZIP.",True,unmapped_extra_components,"{""state"": ""CA""}",0.96,"6668 Lincoln Avenue, San Diego CA 92102"
"269 High Street, Birmingham, B3 2TA, UK",269 High Street,Birmingham,B3 2TA,United Kingdom,ok,All required components identified and formatted per UK standards.,False,,,0.97,"269 High Street, Birmingham, B3 2TA, UK"
"470 London Road, Liverpool, L8 5ST, UK",470 London Road,Liverpool,L8 5ST,United Kingdom,ok,All core fields identified and formatted correctly.,False,,,0.98,"470 London Road, Liverpool, L8 5ST, UK"
1647 Richmond Street Toronto ON M4B 1B3 Canada,1647 Richmond Street,Toronto,M4B 1B3,Canada,ok,Standard Canadian address parsed with clear components.,True,unmapped_extra_components,"{""province"": ""ON""}",0.98,1647 Richmond Street Toronto ON M4B 1B3 Canada
